"id","index","epi","ar","et","nbr_boite","name_project","etude","date","secteur","ti","name_document","nbr_document_a3","nbr_document_a4","nbr_plan","type_document_a3","type_document_a4","type_document_a0","nbr_copy","nbr_exemplaire","nbr_folder","salle","created_by_id","last_update_by_id"
6908,"287-1-2","2","8","7","1","TRAVAUX D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB","DOSSIER DE L'APPEL D'OFFRE TRAVAUX DE RECALIBRAGE D'OUEDS",NULL,"CASIER AMONT ET NORD 10","","CAHIER DES PRESCRIPTIONS COMMUNES","","95","","","RAPPORT","","19","19","1","SALLE ARCHIVE",NULL,NULL
6909,"287-1-3","2","8","7","1","TRAVAUX D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB","DOSSIER DE L'APPEL D'OFFRE TRAVAUX DE RECALIBRAGE D'OUEDS",NULL,"CASIER AMONT ET NORD 10","","CPS","","32","","","RAPPORT","","19","19","1","SALLE ARCHIVE",NULL,NULL
6910,"287-1-4","2","8","7","1","TRAVAUX D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB","DOSSIER DE L'APPEL D'OFFRE TRAVAUX DE RECALIBRAGE D'OUEDS",NULL,"CASIER AMONT ET NORD 10","","BORDEREAU DES PRIX ET DETAIL ESTIMATIF","","9","","","RAPPORT","","19","19","1","SALLE ARCHIVE",NULL,NULL
6911,"287-1-5","2","8","7","1","ETUDE D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","DOSSIER D'APPEL D'OFFRES ADDUCTEUR PRINCIPAL MATERIELS HYDROMECANIQUES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","REGLEMENT D'APPEL D'OFFRES","","34","","","RAPPORT","","6","6","1","SALLE ARCHIVE",NULL,NULL
6912,"287-1-6","2","8","7","1","ETUDE D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","DOSSIER D'APPEL D'OFFRES ADDUCTEUR PRINCIPAL MATERIELS HYDROMECANIQUES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","CPS","","48","","","RAPPORT","","6","6","1","SALLE ARCHIVE",NULL,NULL
6913,"287-1-7","2","8","7","1","ETUDE D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","DOSSIER D'APPEL D'OFFRES ADDUCTEUR PRINCIPAL MATERIELS HYDROMECANIQUES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","MÉMOIRE TECHNIQUE","","14","","","RAPPORT","","6","6","1","SALLE ARCHIVE",NULL,NULL
6914,"287-1-8","2","8","7","1","ETUDE D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","DOSSIER D'APPEL D'OFFRES ADDUCTEUR PRINCIPAL MATERIELS HYDROMECANIQUES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","BORDEREAU DES PRIX -DETAIL ESTIMATIF","","10","","","RAPPORT","","6","6","1","SALLE ARCHIVE",NULL,NULL
6915,"287-1-9","2","8","7","1","ETUDE D'AMENAGEMENT HYDRO-AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","DOSSIER D'APPEL D'OFFRES ADDUCTEUR PRINCIPAL FOURNITURE ET MONTAGE MATERIEL HYDROMECANIQUE EDITION PROVISOIRE",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","REGLEMENT D'APPEL D'OFFRES","","27","","","RAPPORT","","3","3","1","SALLE ARCHIVE",NULL,NULL
6916,"287-4-1","2","8","7","4","TRAVAUX DE REALISATION DES RESEAUX D'IRRIGATION","ZONE CENTRALE TTI DOSSIER D'APPEL D'OFFRES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","REGLEMENT DE L'APPEL D'OFFRES","","33","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6917,"287-4-2","2","8","7","4","TRAVAUX DE REALISATION DES RESEAUX D'IRRIGATION","ZONE CENTRALE TTI DOSSIER D'APPEL D'OFFRES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","CLAUSES ADMINISTRATIVES ET FINANCIERES","","43","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6918,"287-4-3","2","8","7","4","TRAVAUX DE REALISATION DES RESEAUX D'IRRIGATION","ZONE CENTRALE TTI DOSSIER D'APPEL D'OFFRES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","CAHIER DES PRESCRIPTIONS TECHNIQUES","","161","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6919,"287-4-4","2","8","7","4","TRAVAUX DE REALISATION DES RESEAUX D'IRRIGATION","ZONE CENTRALE TTI DOSSIER D'APPEL D'OFFRES",NULL,"CASIERS AVAL AMONT ET SECTEUR NORD 10","","MODE D'EVALUATION DES TRAVAUX BORDEREAU DES PRIX-DETAIL ESTIMATIF","","37","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6920,"287-5-1","2","8","7","5","TRAVAUX DE REALISATION DES RESEAUX D'IRRIGATION","ZONE CENTRALE TTI DOSSIER D'APPEL D'OFFRES",NULL,"OUEST","","MÉMOIRE EXPLICATIF","","27","","","RAPPORT","","2","3","1","SALLE ARCHIVE",NULL,NULL
6921,"287-5-2","2","8","7","5","ETUDE D'AMENAGEMENT DE LA TTI DU GHARB ","ZONE CENTRALE CANEVAS ZONE  OUEST",NULL,"OUEST","","CAHIER DE POINT DE DETAILS","","288","","","POINTD DE DETAIL","","2","2","1","SALLE ARCHIVE",NULL,NULL
6922,"287-5-3","2","8","7","5","ETUDE D'AMENAGEMENT DE LA TTI DU GHARB ","ZONE CENTRALE CANEVAS ZONE  OUEST",NULL,"BOUR ZC7 ET ZC8","","MÉMOIRE EXPLICATIF","","20","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6923,"287-5-4","2","8","7","5","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES LOT FORNITURE DES DAINS COLLECTEURS ET OUVRAGES PREFABRIQUES",NULL,"BOUR ZC7 ET ZC8","","REGLEMENT DE L'APPEL D'OFFRES","","29","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6924,"287-5-5","2","8","7","5","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES LOT FORNITURE DES DAINS COLLECTEURS ET OUVRAGES PREFABRIQUES",NULL,"BOUR ZC7 ET ZC8","","CPS CLAUSES GENERALES ADMINISTRATIVES ET FINANCIERES","","38","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6925,"287-5-6","2","8","7","5","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES LOT FORNITURE DES DAINS COLLECTEURS ET OUVRAGES PREFABRIQUES",NULL,"BOUR ZC7 ET ZC8","","CPS PRESCRIPTIONS TECHNIQUES PARTICULIERES","","62","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6926,"287-5-7","2","8","7","5","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES LOT FORNITURE DES DAINS COLLECTEURS ET OUVRAGES PREFABRIQUES",NULL,"BOUR ZC7 ET ZC8","","MODE D'EVALUATION DES TRAVAUX BORDEREAU DES PRIX DETAIL ESTIMATIF","","13","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6927,"287-5-9","2","8","9","5","TRAVAUX DE REALISATION DES RESEAUX D'IRRIGATION","ZONE CENTRALE TTI DOSSIER D'APPEL D'OFFRES",NULL,"OUEST","","PLAN D'ENSEMBLE","","","1","","","PLAN D'ENSEMBLE","2","3","1","SALLE ARCHIVE",NULL,NULL
6928,"287-8-1","2","8","7","8","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PE CASIER AVAL RECALIBRAGE OUED FEKROUNE",NULL,"OUED FEKROUNE","","MÉMOIRE TECHNIQUE","","66","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6929,"287-8-2","2","8","7","8","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PE CASIER AVAL RECALIBRAGE OUED FEKROUNE",NULL,"OUED FEKROUNE","","AVANT METRE","","15","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6930,"287-8-3","2","8","7","8","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PE CASIER AVAL RECALIBRAGE OUED FEKROUNE",NULL,"OUED FEKROUNE","","PROFILS EN TRAVERS","64","1","","profils en travers","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6931,"287-8-4","2","8","7","8","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES : DRANAGE P1",NULL,"OUED FEKROUNE","TTI","REGLEMENT DE L'APPEL D'OFFRES","","31","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6932,"287-8-5","2","8","7","8","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES : DRANAGE P1",NULL,"OUED FEKROUNE","TTI","CPS CLAUSES GENERALES ADMINISTRATIVES ET FINANCIERES","","47","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6933,"287-8-6","2","8","7","8","TRAVAUX D'AMENAGEMENT DU RESEAU DE DRAINAGE DANS LE SECTEUR P1 DE LA PLAINE ALLUVIALE DE LA ZONE COTIERE MENASRA TTI","DOSSIER D'APPEL D'OFFRES : DRANAGE P1",NULL,"OUED FEKROUNE","TTI","CPS PRESCRIPTIONS TECHNIQUES PARTICULIERES","","89","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6934,"287-9-1","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: OUVRAGES DE SECRITE ET VIDANGE","","148","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6935,"287-9-12","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","PLAN DES OUVRAGES","1","","9","PLAN DES OUVRAGES","","PLAN DES OUVRAGES","2","1","1","SALLE ARCHIVE",NULL,NULL
6936,"287-9-2","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: REGULATEUR VANNES AVIS","","81","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6937,"287-9-3","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: PASSAGE EN SIPHON SOUS L'AUTOROUTE , SOUS L'OUED FAKHROUN, REGULATEUR N5","","41","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6938,"287-9-4","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: TETES D'AQUEDUCS","","80","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6939,"287-9-5","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: PONTS SUR ROUTES SECENDAIRE","","40","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6940,"287-9-6","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: PONTS SUR PISTE","","52","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6941,"287-9-7","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL: PASSERELLES","","45","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6942,"287-9-8","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL:RAMPES D'ACCES","","4","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6943,"287-9-9","2","8","7","9","ETUDE D'AMENAGEMENT HYDRO AGRICOLE DE LA ZONE COTIERE DE LA TTI DU GHARB MENASRA","PEO ADDUCTEUR PRINCIPAL CASIER AVAL V2 NOTES DE CALCUL",NULL,"OUED FEKROUNE","TTI","NOTES DE CALCUL:REGARDE DE DRAINAGE","","6","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6944,"288-1-1","2","8","8","1","MARCHE 40/95/DAM","PROJET COMPLEMENT NORD ",NULL,"MDA HAUT ET BAS","TTI","NOMENCLATURE DES ACIERS","","57","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6945,"288-11-1","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT D'ACHEVEMENT DES TRAVAUX","","94","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6946,"288-11-2","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1986","","105","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6947,"288-11-3","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1987","11","101","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6948,"288-11-4","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1988","","107","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6949,"288-11-5","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1989","","44","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6950,"288-11-6","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1990","","39","4","","RAPPORT","RAPPORT","2","2","1","SALLE ARCHIVE",NULL,NULL
6951,"288-11-7","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1991","","23","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6952,"288-11-8","2","8","8","11","MARCHE 11/95/DAM","CONSTRUCTION D'UN RDCH","1998-01-01","AMEUR SEFLIA","TTI","RAPPORT 1992","","21","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6953,"288-1-2","2","8","8","1","MARCHE 40/95/DAM","PROJET COMPLEMENT NORD ",NULL,"MDA HAUT ET BAS","TTI","NOTE DE CALCUL STRUCTURE","","38","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6954,"288-1-3","2","8","8","1","MARCHE 40/95/DAM","PROJET COMPLEMENT NORD ",NULL,"MDA HAUT ET BAS","TTI","PLAN DE FERAILLAGE","","100","","","PLAN DE FERAILLAGE","","2","1","1","SALLE ARCHIVE",NULL,NULL
6955,"288-13-1","2","8","8","13","MARCHE 16/95/DAM","RESEAU D'ASSAINISSEMENT","1996-01-01","DAM","TTI","PROFILS EN TRAVERS","","296","","","PROFILS EN TRAVERS","","2","2","1","SALLE ARCHIVE",NULL,NULL
6956,"288-1-4","2","8","8","1","MARCHE 40/95/DAM","PROJET COMPLEMENT NORD ",NULL,"MDA HAUT ET BAS","TTI","NOTE DE CALCUL ","","8","","","RAPPORT","","2","1","1","SALLE ARCHIVE",NULL,NULL
6957,"288-14-1","2","8","8","14","MARCHE 16/95/DAM","DRAINAGE","1996-01-01","NORD 5","TTI","PLANS DE COLLECTEURS ET ASPIRATEURS","1","","58","PROFILS EN LONG","","PROFILS EN LONG","2","2","1","SALLE ARCHIVE",NULL,NULL
6958,"288-18-1","2","8","8","18","MARCHE 16/95/DAM","AMENAGEMENT HYDRO AGRICOLE DE LA PLAINE DU GHARB ASSAINISSEMENT","1995-01-01","NORD 5","TTI","PROFILS EN LONG","1","","100","PROFILS EN LONG","","PROFILS EN LONG","2","2","1","SALLE ARCHIVE",NULL,NULL
6959,"288-19-1","2","8","8","19","MARCHE 16/95/DAM","RESEAU D'ASSAINISSEMENT","1996-01-01","NORD 5","TTI","PROFILS EN LONG","5","","120","PROFILS EN LONG","","PROFILS EN LONG","2","2","1","SALLE ARCHIVE",NULL,NULL
6960,"288-19-2","2","8","8","19","MARCHE 16/95/DAM","RESEAU D'ASSAINISSEMENT","1996-01-01","NORD 5","TTI","PROFILS EN TRAVERS","","101","","","PROFILS EN TRAVERS","","2","2","1","SALLE ARCHIVE",NULL,NULL
6961,"288-19-3","2","8","8","19","MARCHE 16/95/DAM","RESEAU D'ASSAINISSEMENT","1996-01-01","NORD 5","TTI","METRE","","12","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6962,"288-2-1","2","8","8","2","MARCHE 29/95/DAM","REALISATION DES ETUDES TOPOGRAPHIQUES DES ZONES BOUR DU GHARB",NULL,"MDA HAUT ET BAS","TTI","RAPPORT","","51","","","RAPPORT","","2","6","1","SALLE ARCHIVE",NULL,NULL
6963,"288-2-2","2","8","8","2","MARCHE 29/95/DAM","REALISATION DES ETUDES TOPOGRAPHIQUES DES ZONES BOUR DU GHARB",NULL,"MDA HAUT ET BAS","TTI","RAPPORT","","20","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6964,"288-3-1","2","8","8","3","MARCHE 40/2002/DAM","REALISATION DES TRAVAUX TOPOGRAPHIQUES DES RESEAUX DE PISTE ET D'ASSAINISSEMENT SITUES DAN LA ZONE PMVB","2002-01-01","KHNICHET","TTI","PROFILS EN LONG","26","","81","PROFILS EN LONG","","PROFILS EN LONG","2","2","1","SALLE ARCHIVE",NULL,NULL
6965,"288-4-1","2","8","8","4","MARCHE 26/95/DAM","REALISATION DES TRAVAUX TOPOGRAPHIQUES DES RESEAUX DE PISTE ET D'ASSAINISSEMENT SITUES DAN LA ZONE PMVB","1996-01-01","KHNICHET","TTI","LPEE TRONCON C","","583","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6966,"288-4-2","2","8","8","4","MARCHE 26/95/DAM","REALISATION DES TRAVAUX TOPOGRAPHIQUES DES RESEAUX DE PISTE ET D'ASSAINISSEMENT SITUES DAN LA ZONE PMVB","1996-01-01","KHNICHET","TTI","LPEE TRONCON A","","137","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6967,"288-5-1","2","8","8","5","MARCHE 26/95/DAM","REALISATION DES TRAVAUX TOPOGRAPHIQUES DES RESEAUX DE PISTE ET D'ASSAINISSEMENT SITUES DAN LA ZONE PMVB","1998-01-01","KHNICHET","TTI","LPEE TRONCON B 1997","","204","1","","RAPPORT","PROFIL EN LONG","2","2","1","SALLE ARCHIVE",NULL,NULL
6968,"288-5-2","2","8","8","5","MARCHE 26/95/DAM","REALISATION DES TRAVAUX TOPOGRAPHIQUES DES RESEAUX DE PISTE ET D'ASSAINISSEMENT SITUES DAN LA ZONE PMVB","1998-01-01","KHNICHET","TTI","LPEE TRONCON B 1998","","553","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6969,"288-6-1","2","8","8","6","MARCHE 10/95/DAM","PEO SPN9","1997-01-01","NORD 9","TTI","NOTE DE CALCUL DE STRUCTURE","","27","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6970,"288-6-2","2","8","8","6","MARCHE 10/95/DAM","PEO SPN9","1997-01-01","NORD 9","TTI","NOTE DE CALCUL DU VIDE SANITAIRE","","16","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6971,"288-6-3","2","8","8","6","MARCHE 10/95/DAM","PEO SPN9","1997-01-01","NORD 9","TTI","NOTE CALCUL DES FONDATIONS ","","18","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6972,"288-6-4","2","8","8","6","MARCHE 10/95/DAM","PEO SPN9","1997-01-01","NORD 9","TTI","LOCAUX ELECTRIQUE","","8","","","PLANS DES OUVRAGES","","2","2","1","SALLE ARCHIVE",NULL,NULL
6973,"288-6-5","2","8","8","6","MARCHE 10/95/DAM","PEO SPN9","1997-01-01","NORD 9","TTI","NOMENCLATURE DES ACIERS","","37","","","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6974,"288-6-6","2","8","8","6","MARCHE 10/95/DAM","PEO SPN9","1997-01-01","NORD 9","TTI","PLANS DE FERAILAGES","","111","","","PLANS DE FERAILAGES","","2","2","1","SALLE ARCHIVE",NULL,NULL
6975,"288-8-1","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1977","14","1","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6976,"288-8-2","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1978","24","3","3","RAPPORT","RAPPORT","RAPPORT","2","2","1","SALLE ARCHIVE",NULL,NULL
6977,"288-8-3","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1981","38","1","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6978,"288-8-4","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1983","59","5","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6979,"288-8-5","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1984","51","4","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6980,"288-8-6","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1985","10","18","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6981,"288-8-7","2","8","8","8","MARCHE 10/95/DAM","SITUATION BUDETAIRE",NULL,"NORD 9","TTI","1986","6","2","","RAPPORT","RAPPORT","","2","2","1","SALLE ARCHIVE",NULL,NULL
6982,"288-9-1","2","8","8","9","MARCHE 10/95/DAM","CONSTRUCTION D'UN RDCH","2005-01-01","AMEUR SEFLIA","TTI","PLANS","1","91","44","PLAN D'OUVRAGE","RAPPORT","PLANS DES OUVRAGES","2","2","1","SALLE ARCHIVE",NULL,NULL
6983,"311-1-1","3","1","1","1","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5 DE LA T.T.I.","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5 DE LA T.T.I. ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5 DE LA T.T.I. PLANS D'EXECUTION DES OUVRAGES TOME 1 PIECES ECRITES",NULL,"E1 E3 E4 E5","TTI","PIECES ECRITES","","148","","","rapport","","","","","SALLE ARCHIVE",NULL,NULL
6984,"311-1-2","3","1","1","1","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5 DE LA T.T.I.","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5 DE LA T.T.I. ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5 DE LA T.T.I. PLANS D'EXECUTION DES OUVRAGES TOME 1 PIECES ECRITES",NULL,"E1 E3 E4 E5","TTI","TABLEAUX DES FERRAILLAGES","","147","","","rapport","","","","","SALLE ARCHIVE",NULL,NULL
6985,"311-12-1","3","1","1","12","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5DE T.T.I","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5DE T.T.I ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5DE T.T.I PLANS D'EXECUTION DES OUVRAGES",NULL,"CANAL GHS","TTI","NOTE DE CALCUL ","","66","","","CALCUL","","","","","SALLE ARCHIVE",NULL,NULL
6986,"311-12-10","3","1","1","12","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5DE T.T.I","ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5DE T.T.I ETUDE D'EXECUTION DES SECTEURS EST 1, EST 3, EST 4 ET EST 5DE T.T.I PLANS D'EXECUTION DES OUVRAGES",NULL,"CANAL GHS","TTI","PLANS D'OUVRAGES","","","1","","","PLANS D'OUVRAGES","","","","SALLE ARCHIVE",NULL,NULL
